identifiant_id;nom_de_l_organisme;adresse_de_l_organisme;code_postal;commune;lien_vers_la_ressource;description_des_contenus_et_de_l_experience_proposes_min_200_max_500_caracteres;si_enfants_merci_de_preciser_le_niveau_scolaire;titre_de_la_ressource;activite_proposee_apprendre_se_divertir_s_informer;public_cible;types_de_ressources_proposees;thematiques;contenus_adaptes_aux_types_de_handicap;temps_d_activite_estime_lecture_ecoute_visionnage_jeu;accessibilite_perennite_de_la_ressource;rattachement_de_l_organisme;autre_precisez;si_limite_dans_le_temps_precisez_jusqu_a_quelle_date;autres_precisez;geolocalisation_ban
1620;Bibliothèques de la Ville de Paris;3 impasse de la Planchette;75003;Paris;https://bibliotheques.paris.fr/jeunesse/2-yeux-10-doigts.aspx;<p>Découvrez 2 yeux, 10 doigts, la série vidéo jeunesse proposée par les bibliothèques de la Ville de Paris. Au programme : des ateliers à suivre en vidéo avec des artistes et illustrateurs, faciles à réaliser à la maison, dès 5 ans.</p>;Maternelle|Primaire;2 yeux, 10 doigts;Jeux;Enfants;Vidéo, flux en direct, programmes en différé;Arts visuels,Peinture;Sous-titrage;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;48.868273, 2.35577
1621;Association Fish My Kiss;4 rue Paul Cézanne;06560;Valbonne;https://www.facebook.com/streaminalive/live;"Streamin a Live est né à la sortie du confinement lorsque, par leurs propres moyens, une équipe de passionnés a monté en un mois une salle de concert numérique. Les concerts sont diffusés en live et gratuitement. Ils sont diffusés régulièrement avec un groupe ou un artiste de tous styles confondus. Nous répondons à un besoin de divertissement, de culture et nous soutenons la scène locale via un moyen numérique actuel et moderne. Ce projet a pour but de (re)donner de la visibilité aux artistes en direct live et de les soutenir. Au programme de chaque édition, une émission d’une heure décomposée comme suit : Interview du groupe d’une dizaine de minutes Concert du groupe d’une quarantaine de minutes Les ressentis du groupe à chaud d’une dizaine de minutes";|||;Streamin a live;Concerts, spectacles;Tous publics;Vidéo, flux en direct, programmes en différé,,,,,,,,;Musique, concerts et opéras,,,,,,,,,,,,,,,,,,,,,,,,,;,,,,,,,,;Le temps d’un vrai déjeuner;Accès permanent;Organisme privé;;;Concert;43.621612, 7.048546
1622;villa Noailles;Montee Noailles;83400;Hyeres;https://villanoailles-hyeres.com/new-rendez-vous-numeriques;"<p>La villa Noailles relance son programme de commandes numériques aux jeunes artistes pour partager avec le public des créations inédites accessibles gratuitement sur villanoailles-hyeres.com et sur ses réseaux sociaux @villanoailles. Le centre d'art perpétue ainsi sa politique d'aide aux jeunes créateurs et la diffusion de la culture d'aujourd'hui auprès de tous les publics. Le programme, les vidéos et les diaporamas sont disponibles sur la page ""Rendez-vous artistiques numériques"".</p>";;Rendez-vous artistiques numériques;Expos, musées;Tous publics;Vidéo, flux en direct, programmes en différé,Images, collections numérisées, bases de données,Expositions virtuelles,Création et pratiques artistiques;Architecture et patrimoine,Archives,Arts décoratifs, design, métiers d’art,Arts numériques,Arts visuels,Danse,Mode,Monuments historiques,Musées,Peinture,Photographie,Sculpture,Théâtre, Spectacles;Facile à lire et à comprendre (FALC);Le temps d’un vrai déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;43.124611, 6.129278
1626;Muséum d'Histoire naturelle de Toulouse;35 allée Jules Guesde;31000;Toulouse;https://museumtoulouse-collections.fr/;<p>L'Écho des réserves présente les fonds et l'histoire de l'établissement ainsi que les différentes bases de données externes où retrouver les collections en ligne. Il diffuse également l'actualité des collections à travers la publication d'articles autours des nouvelles acquisitions, restaurations, études ou histoires.</p>;;L'Écho des réserves, espace des colletions du muséum de Toulouse;Expos, musées;Tous publics;Images, collections numérisées, bases de données;Histoire,Littérature, sciences humaines, langues,Musées,Photographie,Sciences;;Le temps d’un week-end;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;Le site ne dispose pas d'un dispositif particulier, néanmoins, la lecture audio est faisable avec des navigateurs tels que Firef;43.594181, 1.44895
1633;Musée municipal Paul-Dini;2 place Faubert;69400;Villefranche-sur-Saône;http://musee-paul-dini.com/wordpress/wp-content/uploads/2020/06/JoyantVF.m4v;<p>Durant la période de confinement, le service des publics du musée municipal Paul-Dini propose de (re)découvrir les œuvres de la collection permanente. Œuvre présentée: Jules-Romain Joyant, Le grand canal de Venise, 1849.</p>;;Les secrets d'une oeuvre en vidéo;Expos, musées;Parents / Éducateurs;Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts,Images, collections numérisées, bases de données,Création et pratiques artistiques;Arts visuels,Musées,Peinture;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;Pas de dispositif spécifique;45.990754, 4.721597
1635;Musée des Beaux-arts et de la Dentelle d'Alençon;Cour carrée de la Dentelle;61000;Alençon;https://www.youtube.com/watch?v=o_DrC9NGiJA;"<p>Le documentaire ""L'art des dentellières d'Alençon"", tourné à l'Atelier national du Point d'Alençon, présente un savoir-faire textile français exceptionnel, inscrit depuis le 16 novembre 2010 sur la Liste représentative du patrimoine culture immatériel de l'humanité par l'Unesco. Les témoignages des dentellières permettent une immersion dans l'intimité d'un conservatoire d'excellence.</p>";;L'art des dentellières d'Alençon;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Arts décoratifs, design, métiers d’art;Sous-titrage (ST);Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;49.349118, 0.668214
1640;Réunion des Musées Métropolitains Rouen Normandie;26 bis rue Jean Lecanuet;76000;Rouen;https://my.matterport.com/show/?m=GwPv5LT2UVs;<p>Le Musée des Beaux-Arts de Rouen propose d’explorer la vie d’une figure centrale pour le mouvement impressionniste : le magnat du charbon François Depeaux (1853- 1920). Acheteur compulsif, cet industriel rouennais a possédé près de 600 tableaux et dessins, comptant jusqu’à 55 Sisley, 20 Monet, mais aussi des chefs-d’œuvre de Renoir, Toulouse-Lautrec, Pissarro…</p>;;Exposition virtuelle - François Depeaux L'homme aux 600 tableaux;Expos, musées;Tous publics;Images, collections numérisées, bases de données,Expositions virtuelles;Arts visuels,Musées,Peinture;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;Navigation avec la souris;49.444119, 1.095516
1645;Réunion des Musées Métropolitains Rouen Normandie;26 bis rue Jean Lecanuet;76000;Rouen;https://my.matterport.com/show/?m=y4xvQdfFUqb;<p>Depuis son installation en 1888 à sa mort en 1926, Claude Monet passe quarante-trois années à Giverny soit la moitié de sa vie. Les célèbres séries qu’il y réalise, Peupliers, Meules, placent d’emblée son œuvre sous le signe du végétal. Cette nature saisie dans les campagnes environnantes va se rapprocher du peintre qui se lance avec passion dans l’aménagement d’un jardin exceptionnel. L’image d’un Claude Monet en jardinier, chapeau de paille ou de feutre vissé sur la tête se complète d’une nouvelle vision que celle immortalisée par Sacha Guitry dans Ceux de chez nous (1915), qui montre l’artiste en notable, sanglé dans un costume blanc trois pièces, peignant au bord de l’étang des nymphéas. Ces deux visions se complètent d’une troisième, jusqu’ici méconnue : Monet botaniste. Cette vision nous est donnée non pas par la photographie, mais par de véritables planches d’herbier récoltées à Giverny dans les années 90 par son beau-fils, Jean-Pierre Hoschedé (1877-1961), parfois présenté comme son fils naturel. Né du mariage d’Alice et Ernest Hoschedé, Jean-Pierre précède de peu le second fils de Claude et Camille Monet, Michel, né en 1878 et décédé accidentellement quelques années après son aîné en 1966. De nombreux dessins et tableaux du peintre attestent de la proximité des deux enfants qui habitent sous le même toit dès leur petite enfance, avant même l’installation à Giverny. La vie de Jean-Pierre Hoschedé a jusqu’ici été très peu étudiée, contrairement à celle de sa sœur Blanche, peintre elle-même, qui a accompagné Claude Monet jusqu’à ses derniers instants, et habité la propriété de Giverny jusqu’à sa mort en 1941. Proclamé membre de la Société botanique de France en 1901, JeanPierre Hoschedé va se livrer en duo avec l’abbé Toussaint à l’étude de la végétation Normande, suivant la voie ouverte par Louis Corbière, premier auteur d’une Flore de Normandie. Les deux comparses constituent un herbier et réalisent des échanges avec les botanistes régionaux de leur temps. On retrouve ainsi des planches à Cherbourg, Paris et Strasbourg. Découvrez cette belle exposition présente au muséum d'histoire naturelle de Rouen à travers une immersion virtuelle saisissante.</p>;;Exposition virtuelle - L'herbier secret de Giverny, Monet et Hoschedé en botanistes;Expos, musées;Tous publics;Images, collections numérisées, bases de données,Expositions virtuelles;Arts visuels,Musées,Parcs et jardins,Peinture,Sciences;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;Navigation avec la souris;49.444119, 1.095516
1653;Réunion des Musées Métropolitains Rouen Normandie;26 bis rue Jean Lecanuet;76000;Rouen;https://my.matterport.com/show/?m=ojc3R9g3czQ&brand=0;<p>Artiste français travaillant actuellement entre Bruxelles et New York, Jean-Baptiste Bernadet est diplômé de La Cambre en 2003. Peintre virtuose de la couleur, il s’est engagé dans la voie d’une peinture puissamment évocatrice dans laquelle l’intensité interpelle les sensations du regardeur jusqu’à l’éblouissement. Usant d’une technique en apparence simple, mêlant huile, cire et résine, il obtient une palette vive, saturée en pigments, qu’il applique par couches successives et rapides, au pinceau fin. Au fil d’un recouvrement inlassable, par épaisseurs successives, jouant des transparences et des infimes variations de la touche, se construit une matière picturale indéfinissable, sans contour et sans point focal. L’œil s’y perd dans un vertige de vibrations rétiniennes, qui évoque délibérément la peinture impressionniste. Mais il s’agit ici d’une peinture sans sujet, si ce n’est la peinture elle-même et le questionnement de la nature de notre activité sensorielle. Dans cette interrogation, s’ouvre l’espace interstitiel de l’imaginaire. Une immersion virtuelle riche en couleurs !</p>;;Exposition virtuelle - Jean-Baptiste Bernadet;Expos, musées;Tous publics;Expositions virtuelles;Arts visuels,Musées,Peinture;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;Navigation avec la souris;49.444119, 1.095516
1658;ministère de la Culture;62, rue Beaubourg;75003;Paris;https://ellesxparisphoto.com/;"<p style=""text-align:justify; margin-bottom:11px; margin-left:8px"">Le ministe?re de la Culture pre?sente, en association avec Paris Photo, un parcours numérique sur 40 femmes, jeunes, confirme?es, peu connues ou ayant marque? l’histoire de la photographie.</p><p style=""text-align:justify; margin-bottom:11px; margin-left:8px"">Organise? autour de cinq the?matiques – images lumineuses, images re?ve?es, images transforme?es, images militantes et images te?moins -, le projet tisse des liens imaginaires te?moignant des proximite?s entre les ge?ne?rations, les sensibilite?s et les choix esthe?tiques.</p><p style=""text-align:justify; margin-bottom:11px; margin-left:8px"">Découvrez le parcours d'une trentaine de photographes interviewe?es sur leur statut de femme artiste, leurs engagements et leurs inspirations.</p>";;Elles X Paris Photo;Expos, musées;;Expositions virtuelles;Photographie;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.863298, 2.354763
1662;Louvre-Lens;rue Paul Bert;62300;Lens;https://www.louvrelens.fr/exhibition/noir/?tab=autour-de-l-exposition#onglet;"<p>Autour de l'exposition ""Soleils noirs"" :<br />-&nbsp;Des podcasts :&nbsp;les trois commissaires d’exposition vous présentent leurs œuvres coup de cœur;<br />- Dispositif interactif ""La fabrique du noir"" :&nbsp;Fusain, Noir d’ivoire, obsidienne… Ces matériaux sont tous noirs, et pourtant tous différents&nbsp;!&nbsp;Découvrez leurs secrets de fabrication et comment les artistes de l’exposition les ont utilisés tout au long des siècles.<br />- mais aussi l'audio guide en ligne et des supports de visite à télécharger !</p>";;Autour de l'exposition « Soleils noirs »;Expos, musées;Tous publics;Audio, radio, podcasts,Ressources pédagogiques;Musées;Navigation au clavier;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;50.432115, 2.80542
1681;La Turbine sciences;3 rue des Tisserands - Cran Gevrier;74958;Annecy;https://www.youtube.com/watch?v=MErWb1uLqpU&list=PLR8qOUsin4WP3Xdl2JlX_TZMFWc8UD3Bf;<p>Dans le cadre de notre médiaLab et suite au 1er confinement, l'un de nos médiateurs a créé des vidéos en stop motion pour transmettre plus facilement des notions de science aux enfants. Aidé d'un adulte, l'enfant peut se lancer dans toutes ces fabrications et comprendre le processus scientifique mis en évidence grâce aux explications finales.</p>;Primaire;Des activités à faire à la maison avec La Turbine sciences;Approfondir ses connaissances;Enfants;Vidéo, flux en direct, programmes en différé;Sciences;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;pas de contenus spéciaux adaptés;45.906421, 6.107504
1699;Maison Européenne de la photographie (MEP);5/7 Rue de Fourcy;75004;Paris;https://www.mep-fr.org/tag/a-faire-en-famille/;<p>Découvrez avec vos enfants la photo, à travers des livrets, des podcasts et des activités créatives.</p>;;A faire en famille;Partager ses passions;Enfants;Création et pratiques artistiques;Photographie;;Le temps d’un vrai déjeuner;Accès permanent;Collectivité territoriale;;;;48.854893, 2.359078
1723;Musée d'art contemporain de Lyon;81 quai Charles de Gaulle;69006;Lyon;https://my.matterport.com/show/?m=3wcKK9QJoX8;<p>Retrouvez l'intégralité des 3 expositions présentées au macLYON dans cette visite à 360°. Déplacez-vous à travers tout le bâtiment et explorez les moindres détails. Découvrez nos informations thématiques et nos cartels sur les oeuvres.</p>;;Visite virtuelle complète des expositions du macLYON;Expos, musées;Tous publics;Expositions virtuelles;Musées;Navigation au clavier;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;45.784064, 4.852585
1730;Comédie-Française;Place Colette;75001;Paris;https://www.comedie-francaise.fr/fr/actualites/comedie-dautomne;"<p>A la recherche du temps perdu du mardi au vendredi en direct à 19h :&nbsp;Lecture de l'œuvre-fleuve de Marcel Proust par les Comédiens-Français, en relais soir après soir comme un mini-marathon, en écho à la mise en scène de Christophe Honoré du «&nbsp;<a href=""https://www.comedie-francaise.fr/fr/evenements/le-cote-de-guermantes?utm_source=email&amp;utm_campaign=NL_MENSUELLE__OPTINS_La_Comdie-Franaise_lance_Comdie_dautomne&amp;utm_medium=email"">Côté de Guermantes</a>&nbsp;» récemment jouée au Théâtre Marigny.<br /><br />Théâtre à la table le samedi à 20h30 :&nbsp;Chaque semaine, une équipe de comédiennes et comédiens prépare en seulement six jours la création d'une pièce, dévoilant le travail de lecture préalable aux répétitions en scène, où naissent premières trouvailles et envolées.</p><p>À voir en direct sur&nbsp;<a href=""https://www.facebook.com/comedie.francaise.officiel?utm_source=email&amp;utm_campaign=NL_MENSUELLE__OPTINS_La_Comdie-Franaise_lance_Comdie_dautomne&amp;utm_medium=email"">Facebook</a>&nbsp;puis en ""replay"" sur&nbsp;<a href=""https://www.youtube.com/channel/UCiO6XES6COOJYcp8aBv-NpQ?utm_source=email&amp;utm_campaign=NL_MENSUELLE__OPTINS_La_Comdie-Franaise_lance_Comdie_dautomne&amp;utm_medium=email"">YouTube</a>&nbsp;et en ""podcast"" sur&nbsp;<a href=""https://soundcloud.com/discover"">Soundcloud</a></p>";;Comédie d'Automne;Concerts, spectacles;Tous publics;Vidéo, flux en direct, programmes en différé;Théâtre, Spectacles;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.863356, 2.336069
1736;ARTE;8 Rue Marceau;92130;Issy-les-Moulineaux;https://www.arte.tv/fr/videos/cinema/;<p>Regardez la sélection de films de cinéma d'ARTE en streaming et replay - Films primés, films d'auteur et grands classiques du cinéma européen : le meilleur du septième art à la télévision.</p>;;ARTE Cinéma;Films, documentaires, vidéos;;Vidéo, flux en direct, programmes en différé;Arts numériques,Audiovisuel,Cinéma;;Toute une vie ne suffit pas;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.826983, 2.271403
1744;Ville de Roubaix;17 Grand Place;59100;Roubaix;https://carto.ville-roubaix.fr/portal/apps/webappviewer/index.html?id=c2d07a66ec254ad182cec376c891f989;"<p>En mettant en avant la mémoire des femmes, le matrimoine inscrit en effet les femmes dans l'histoire artistique, culturelle et sociale, mais aussi éducative, sportive, ouvrière et politique d’une ville. Mettre en avant le matrimoine permet de montrer une société constituée d'un héritage commun, mixte et égalitaire.&nbsp;</p>";;Le Matrimoine à Roubaix;Approfondir ses connaissances;Tous publics;Images, collections numérisées, bases de données;Architecture et patrimoine,Littérature, sciences humaines, langues;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;50.691777, 3.173756
1748;Présidence de la République;55 rue du Faubourg Saint-Honoré;75001;Paris;https://www.elysee.fr/visite-virtuelle/;"<p>Dévoilée à l’occasion des Journées européennes du patrimoine 2020, la visite virtuelle du Palais de l’Élysée permet au visiteur de profiter d’une exploration interactive, ludique et à 360° du palais.&nbsp;Ce dispositif totalement inédit s’accompagne de nombreuses anecdotes sur les salons et les œuvres d’art qui y sont exposées.&nbsp;</p>";;Visite virtuelle de l'Elysée;Expos, musées;Tous publics;Expositions virtuelles;Architecture et patrimoine,Monuments historiques;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.872986, 2.31065
1771;LaM - Lille Métropole Musée d'art moderne, d'art contemporain et d'art brut;1 allée du Musée;59650;Villeneuve d'Ascq;https://soundcloud.com/musee-lam/sets/ecouter-voir-ecoutez-voir-12;"<p>Depuis septembre 2020, le LaM vous prend par l'oreille et vous invite à visiter sa collection sous le signe du Merveilleux à travers ""Écouter, voir… Écoutez voir"", sa toute nouvelle série de podcasts ! Tous les mois, pendant un an, un nouveau podcast vous propose de découvrir une sélection d’œuvres issues des trois fonds de la collection permanente du musée (art moderne, art contemporain et art brut) à travers les regards croisés de différent·e·s intervenant·e·s venant du monde des musées (conservateur·rice·s, commissaires d’expo, plasticien·ne·s…) ou non (philosophes, comédien·ne·s, scientifiques, enfants…). Véritable voyage sonore, chaque podcast donne la parole à différent·e·s invité·e·s qui partagent leur lecture d’une sélection d’œuvres, au cours d’une émission d’une quinzaine de minutes, accessible sur la plateforme Soundcloud. ""Écouter, voir… Écoutez voir"" : une dose de merveilleux à découvrir chaque mois !</p>";;"""Ecouter, voir... Ecoutez voir !""";Audios;Tous publics;Audio, radio, podcasts;Arts visuels,Éducation artistique et culturelle,Musées,Peinture,Photographie,Sculpture;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Collectivité territoriale;;;;50.643651, 3.164996
1780;Domaine national de Chambord;Château de Chambord;41250;CHAMBORD;https://www.youtube.com/watch?v=WQfLnoGZ75g;"<p>Le Château de Chambord participe à la série ""1 jour, 1 visite privée - Tour de France des lieux culturels confinés"" Le Domaine national de Chambord vous invite à parcourir le château dans ces lieux les plus incontournables et emblématiques, de son escalier à double révolution aux combles, en passant par le logis de François Ier ou les salles voûtées du donjon. Une visite exceptionnelle de l’une des plus stupéfiantes constructions de la Renaissance, magnifiée par la quiétude du confinement. Visite privée en compagnie de Jean d'Haussonville, directeur général du Domaine national de Chambord, et Virginie Berdal, chargée de recherches au sein du service de la conservation et de l'action éducative. Une initiative du Club Innovation &amp; Culture CLIC France en partenariat avec Le Figaro, Connaissancedesarts.com et Facebook France.</p>";;Visite privée du château de Chambord confiné;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Architecture et patrimoine,Histoire,Monuments historiques,Musées,Parcs et jardins;;Le temps d’un vrai déjeuner;Accès permanent;Ministère de la Culture ou opérateur national;;;;47.615601, 1.517827
1812;Archives départementales du Jura;Impasse des Archives;39570;MONTMOROT;http://archives39.fr/Actions-patrimoniales-educatives-et-scientifiques/p126/Supports-pedagogiques;<p>Des travaux et dossiers pédagogiques sur le Jura ont déjà été réalisés par le service éducatif des Archives départementales du Jura et sont à votre disposition, classés par grandes thématiques.</p>;;Supports pédagogiques sur le Jura;Livres;Tous publics;Ressources pédagogiques;Archives,Histoire;;Le temps d’un week-end;Accès permanent;Collectivité territoriale;;;;46.674293, 5.537286
1815;Musée d'art moderne et contemporain Saint-Étienne Métropole;Fernand Léger;42270;Saint-Priest-En-Jarez;https://oeuvresoeur.fr/;"<p>Trouve ton œuvre sœur est un jeu destiné principalement aux adolescents (mais pas que ...). Le principe ? Un test d'une quinzaine de questions, comme dans un magazine, établit les grandes lignes de la personnalité du joueur. Pas de questions pièges : il suffit de faire son choix parmi les réponses proposées. Un algorithme ""matche"" le profil du joueur avec une œuvre de la collection. L'œuvre sœur du joueur est dévoilée A l'occasion du second confinement, le jeu est jouable à 100 % depuis chez vous.</p>";;"Jeu numérique ""Trouve ton oeuvre soeur""";Jeux;Tous publics;Jeux;Arts visuels,Éducation artistique et culturelle,Musées,Peinture,Photographie,Sculpture;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;48.501611, -2.747081
1844;Abbaye de Longues;17 rue de l'Abbaye;14400;Longues sur mer;https://sketchfab.com/search?q=abbaye+de+longues&sort_by=-relevance&type=models;"<p>Cette numérisation a été réalisée à l’initiative de l’Association des amis de l’Abbaye de Longues et de ses jardins. https://www.helloasso.com/associations/association-des-amis-de-l-abbaye-de-longues-et-de-ses-jardins Elle est co financée par le CD14 et le Club des Mécènes de Normandie de la Fondation du Patrimoine. L’Abbaye offre un témoignage exceptionnel de la vie religieuse normande au Moyen Âge. Les restaurations par ses propriétaires successifs en font aujourd’hui un fleuron du patrimoine normand, classé Monument historique en 2006. Elle a été sélectionnée par la Mission Stéphane Bern en 2019 comme « monument emblématique » pour la Région Normandie, afin de financer la couverture du chœur de l’église comme du réfectoire des moines d’ici à 2022.&nbsp;</p>";;Visite numérique;Films, documentaires, vidéos;Tous publics;Ressources pédagogiques;Architecture et patrimoine;Navigation au clavier;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme privé;;;;49.332991, -0.698645
1874;Réseau Diagonal;2 rue Vincent Leblanc;13002;Marseille;https://reseau-diagonal.com/podcasts-un-reseau-la-croisee-des-chemins-et-des-images#podcasts-entete;"<p>Ecoutez ce que les artistes, le public, les centres d'art et de photographie réunis au sein du réseau Diagonal ont a vous raconter sur l'exercice de leur métier, de leur passion, de leur démarche.&nbsp; Plongez grâce à cette série de podcasts en immersion dans ""Entre les images "", un programme national d'ateliers de transmission et de pratique photographique développé par le réseau Diagonal et ses membres avec le soutien du ministère de la Culture. Un road movie sonore produit par Diagonal et réalisé par le studio Ecran Sonore.&nbsp; En un ""clic"" la photographie deviendra sonore et ça c'est inédit !</p>";;Podcast Diagonal;Audios;Tous publics;Audio, radio, podcasts,Création et pratiques artistiques;Arts visuels,Éducation artistique et culturelle,Photographie;;Le temps de manger un sandwich pendant une pause déjeuner;Accès permanent;Organisme labellisé, conventionné ou subventionné par le ministère de la culture;;;;43.303102, 5.369379
1886;CAUE de Paris;7 rue Agrippa d'Aubigné;75004;Paris;https://www.caue75.fr/ateliers-a-la-maison;<p>Le CAUE de Paris vous propose un ensemble d'ateliers manuels pour découvrir l'architecture chez soi et en famille. Les places du monde, les Archiconnus, la ville en volume, les défis maquettes, la nature en ville, les maisons du monde, les façades en folie... Des sujets variés pour tous les goûts et tous les âges ! Suivez ce cahier d'activités et envoyez-nous des photos de vos créations à l'adresse contact@caue75.fr ou sur facebook @cauedeparis. À vos ciseaux !</p>;Maternelle|Primaire|Collège|Lycée;Ateliers à la maison;Jeux;Enfants;Ressources pédagogiques,Jeux,Création et pratiques artistiques;Architecture et patrimoine,Monuments historiques;Transcription textuelle;Toute une vie ne suffit pas;Accès permanent;Organisme privé;;;;48.850315, 2.362374
1931;Musée des beaux-arts de Brest métropole;24 rue Traverse;29200;Brest;https://musee.brest.fr/informations-transversales/actualites/actualites-3256/le-musee-a-la-maison-activites-pour-tous-698501.html?cHash=23fc8ec7b91c386bfeb6461445f071b5;"<p>Durant cette période de confinement, le musée des beaux-arts de Brest vous propose chaque samedi des activités pour tous, enfants et adultes. Découvrez les collections du musée depuis chez vous !&nbsp;</p>";Primaire;Le musée à la maison;Expos, musées;Enfants;Images, collections numérisées, bases de données,Jeux,Création et pratiques artistiques;Musées;;Le temps d’un week-end;Accès permanent;Collectivité territoriale;;;;48.385217, -4.489867
1951;Philharmonie de Paris;221 avenue Jean Jaurès;75019;Paris;https://pad.philharmoniedeparis.fr/genre-jeunes-familles.aspx?_ga=2.56889514.1835102594.1606723978-1658458088.1558550014&fbclid=;<p>Découvrez des ressources de la Cité de la musique - Philharmonie de Paris adaptées au jeune public et aux familles et retrouvez les outils pour se préparer aux concerts familles et participatifs.</p>;;Concerts et Jeux famille;Approfondir ses connaissances;Parents / Éducateurs;Vidéo, flux en direct, programmes en différé,Audio, radio, podcasts,Jeux;Musique, concerts et opéras;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.889311, 2.393824
2014;Institut national de l'audiovisuel (INA);18, avenue des Frères-Lumière;94366;Bry-sur-Marne;https://larevuedesmedias.ina.fr/series/medias-la-grande-reinvention;Une série en 5 épisodes dans laquelle la journaliste Anne Sophie Novel enquête sur les nouveaux modèles de financement et formats développés par les médias en ligne pour continuer d'exister à l'ère de la post-vérité et face à des géants du web qui aspirent la majeure partie des recettes publicitaires.;;Médias : la grande réinvention ?;Actualités, débats;Parents / Éducateurs;Vidéo, flux en direct, programmes en différé,Ressources pédagogiques;Éducation aux médias;;Le temps d’une soirée;Accès permanent;Ministère de la Culture ou opérateur national;;;;48.836527, 2.532676
2027;Musée art Roger-Quilliot Clermont Auvergne Métropole;Place Louis Deteix;63100;Clermont-Ferrand;https://www.clermontmetropole.eu/bouger-se-divertir/le-dynamisme-culturel/les-musees-de-clermont-auvergne-metropole/marq-musee-dart-roger-quilliot/kit-decouverte-un-musee-dart-cest-quoi/;"<p>Le musée d'art Roger-Quilliot vous offre ce tout nouveau kit à imprimer ! Il est composé d'un livret-jeux et de son dossier photos, d'un atelier sur l'art de la nature morte, de son cadre ""pop up"" et de son poster, ainsi qu’une activité de découpage-collage pour s'amuser à classer les œuvres du MARQ !</p>";Primaire;Kit découverte un musée d'art c'est quoi?;Expos, musées;Enfants;Création et pratiques artistiques;Éducation artistique et culturelle,Musées;;Le temps d’une soirée;Accès permanent;Collectivité territoriale;;;;45.774928, 3.084044
2117;Ecole supérieure de journalisme de Lille;50 rue Gauthier-de-Châtillon;59000;Lille;https://www.youtube.com/results?search_query=tutos+de+l%27info;<p>Y’a pas que les mecs de 50 ans en costard-cravate qui ont le droit de s’exprimer ! Toi aussi, tu as sûrement des trucs à raconter. Des choses à critiquer, des pratiques à révéler, des passions à partager, des enquêtes à mener, une grand-mère super intéressante à interviewer… Tu as envie de décortiquer la réforme du bac, très bien. Tu veux analyser le dernier match du Losc, ok. Tu veux raconter le quotidien de jeunes victimes de harcèlement scolaire, super ! Tu souhaites parler du racisme anti-asiatiques, pourquoi pas. Mais pour que tu sois crédible, qu’on prenne vraiment en considération ce que tu dis, il va falloir soigner le fond : c’est-à-dire avoir des arguments et vérifier tes infos. Mais aussi la forme : que tes photos soient bien cadrées, tes vidéos bien montées... C’est ce que je vais t’apprendre à faire sur cette chaîne. Et avec tes propres moyens (calepin, stylo, ordinateur, téléphone…) ! 23 vidéos au total, tu devrais y trouver ton compte !</p>;;Les tutos de l'info;Films, documentaires, vidéos;Tous publics;Vidéo, flux en direct, programmes en différé;Éducation aux médias;;Toute une vie ne suffit pas;Accès permanent;Organisme privé;;;;50.628959, 3.064178
