nom_du_jardin;code_postal;region;departement;adresse_complete;adresse_de_l_entree_du_public;numero_et_libelle_de_la_voie;complement_d_adresse;commune;code_insee;code_insee_departement;code_insee_region;latitude;longitude;site_internet_et_autres_liens;types;annee_d_obtention;description;auteur_nom_de_l_illustre;identifiant_deps;identifiant_origine;accessible_au_public;conditions_d_ouverture;equipement_precision;date_de_creation;date_de_maj;coordonnees_geographiques
Jardin des rouges vis;71530;Bourgogne-Franche-Comté;Haute-Saône;6 Rue Pautet, 71530 Champforgeuil, France;6 Rue Pautet, 71530 Champforgeuil, France;6 Rue Pautet;;Champforgeuil;70248;70;27.0;46.82;4.83;[];Jardin contemporain,Jardin vivrier,Jardin privé;2011;Calme jardin paysager de 2 hectares, entre rivière et étang. Riches collections de vivaces méconnues, et d'arbustes, déclinées en milieux et tableaux variés. Sans arrosage ni traitements. Nombreux sièges.;;JARD_70248_0001;MHR_27_JR0019;[];[];;2022-03-09 12:54:47;2022-07-22 10:27:53;46.82, 4.83
Jardin intérieur à ciel ouvert;61430;Normandie;Orne;Interieur a ciel ouvert, 6 Chem. du Lavoir, 61430 Athis-Val-de-Rouvre, France;Interieur a ciel ouvert, 61430 Athis-Val-de-Rouvre, France;Interieur a ciel ouvert;;Athis-Val-de-Rouvre;61007;61;28.0;48.808806;-0.504959;"[""http://www.jardin-interieuracielouvert.com/"", ""https://www.facebook.com/Jardin-int%C3%A9rieur-%C3%A0-ciel-ouvert-1868873793399621/""]";Jardin contemporain,Jardin de collection,Jardin privé;2019;"Ouvert au public depuis 2011, ce jardin contemporain a été créé à partir de mars 2000 par Dominique et Benoît Delomez, artistes plasticiens. Il est géré dans le respect de l’environnement et de la biodiversité. Poétique, intimiste ou ludique, le sauvage apprivoisé et la luxuriance côtoient la radicalité sur un site entièrement remodelé, composé de talus, de bassins et de rochers. L’eau y est très présente : bassins sauvages, fontaines, cours d’eau animent ce jardin, donnant une atmosphère apaisante, invitant au rêve, à la flânerie, à la découverte d’espaces insolites. Plus de 1200 variétés de plantes sont actuellement présentes, composées de vivaces, de graminées et d’arbustes ; des espèces régionales y sont répertoriées ainsi qu’une collection de 136 taxons de fougères. Dans des tonalités de rouge et d’oranger, le potager, magnifié par des miroirs, accueille fruitiers, légumes, plantes aromatiques et médicinales. Au détour d’un sentier, en résonance au jardin, des œuvres contemporaines surprennent le visiteur.";;JARD_61007_0001;MHR_28_JR0043;"[""ouvert""]";"[""de jour""]";;2020-09-15 18:18:00;2022-12-20 16:19:54;48.808806, -0.504959
Jardin retiré;61140;Normandie;Orne;14 Av. Robert Cousin, 61140 Bagnoles de l'Orne Normandie, France;14 Av. Robert Cousin, 61140 Bagnoles de l'Orne Normandie, France;14 Av. Robert Cousin;;Bagnoles de l'Orne Normandie;61483;61;28.0;48.558657;-0.420542;"[""http://www.lejardinretire.fr/"", ""https://www.facebook.com/LeJardinRetire""]";Jardin contemporain,Jardin privé;2019;Situé en plein coeur de la Forêt d'Andaines à Bagnoles de l' Orne, ville thermale, une occasion de découvrir, un superbe jardin de mi-ombre, intime et raffiné sur 2500 m2. Dans ce cadre romantique, ceinturé par une haie d'arbustes et d'arbres centenaires, vous pouvez voir s'épanouir au fil des saisons de nombreuses variétés de roses, clématites, vivaces dont les astrances mais plus encore les hostas pour leur feuillage, de nombreux phlox, des persicaires, de nombreux arbustes.... La jardinière ne manque pas de trouver aux roses leurs meilleures associées pour créer des mises en scène tantôt théâtrales, plus discrètes, romantiques ou sauvages. Le Jardin Retiré offre en toute harmonie, une succession d'ambiances : le Jardin Boudoir, le Jardin à l'Anglaise, le Jardin d'eau, l'Allée Blanche, la Serre-Chapelle.;;JARD_61483_0001;MHR_28_JR0044;"[""ouvert""]";"[""de jour""]";;;2022-12-20 16:18:51;48.558657, -0.420542
Jardin du château de Montréal;24400;Nouvelle-Aquitaine;Dordogne;860 Rte des Chênes, 24400 Issac, France;860 Rte des Chênes, 24400 Issac, France;860 Rte des Chênes;;Issac;24211;24;75.0;45.0219;0.458426;[];Jardin régulier,Jardin privé;2004;Au pied du château Renaissance, jardins en terrasses conçus par Achille Duchêne au début du XXe siècle, sur les fortifications dominant la vallée.;;JARD_24211_0001;MHR_75_JR0012;[];[];;;2022-07-22 10:28:04;45.0219, 0.458426
Jardin d’Hélys-oeuvre;24160;Nouvelle-Aquitaine;Dordogne;1245 Rte de la Loue, 24160 Saint-Médard-d'Excideuil, France;1245 Rte de la Loue, 24160 Saint-Médard-d'Excideuil, France;1245 Rte de la Loue;;Saint-Médard-d'Excideuil;24463;24;75.0;45.340552;1.075687;"[""http://www.lejardindhelys-oeuvre.fr""]";Parc paysager,Jardin contemporain,Jardin privé;2013;Atelier-jardin de création artistique dans une propriété du XIXe siècle. Interventions et installations dans l'ancien parc historique.;;JARD_24463_0001;MHR_75_JR0016;"[""ouvert""]";"[""de jour""]";;;2022-12-20 17:58:58;45.340552, 1.075687
Jardin du cloître Notre-Dame;47200;Nouvelle-Aquitaine;Lot-et-Garonne;12 Rue Pierre Mendes -France, 47200 Marmande, France;12 Rue Pierre Mendes -France, 47200 Marmande, France;12 Rue Pierre Mendes -France;;Marmande;47157;47;75.0;44.504311;0.187295;[];Jardin régulier,Jardin public;2008;Jardin régulier d’art topiaire aménagé en 1955 d’après un modèle de jardin Renaissance, à l’emplacement de l’ancien préau du cloître.;;JARD_47157_0001;MHR_75_JR0030;[];[];;2020-06-08 09:25:00;2022-07-22 10:28:05;44.504311, 0.187295
Les jardins de Quercy;82330;Occitanie;Tarn-et-Garonne;Cambou, 82330 Verfeil sur Seye, France;Cambou, 82330 Verfeil sur Seye, France;Cambou;;Verfeil sur Seye;82191;82;76.0;44.17289;1.88191;"[""http://www.lesjardinsdequercy.fr"", ""https://www.instagram.com/lesjardinsdequercy/""]";Parc paysager,Jardin contemporain,Jardin privé;2008;"Sur un hectare privé de terrain en pente, jardins thématiques de différente taille, clos par des haies. Une dizaine de jardins : blanc, végétal, à l'anglaise, australien, indien, labyrinthe... Nouveau cette année : le jardin des ruines romaines.Nombreuses variétés rares de vivaces, de rosiers.";;JARD_82191_0001;MHR_76_JR0032;[];[];;2020-06-08 09:24:00;2022-12-07 16:26:36;44.17289, 1.88191
Arboretum de la Martinière;37250;Centre-Val de Loire;Indre-et-Loire;51 Rue du Lavoir, 37250 Veigné, France;51 Rue du Lavoir, 37250 Veigné, France;51 Rue du Lavoir;;Veigné;37266;37;24.0;47.287545;0.745332;"[""http://arboretumveigne.hautetfort.com/""]";Parc paysager,Jardin de collection,Jardin privé;2017;Collections de conifères, d'arbres, d'arbustes et de bambous. Situé dans la vallée de l'Indre, à Veigné, en Touraine sur le site d'une ancienne carrière de sable. Autour de deux étangs, le parc est consacré aux arbres et arbustes. On y trouve également une centaine d'espèces de bambous intégrés harmonieusement dans le site. Adossé à un coteau boisé, les plantes sont groupées en bosquets suivant différents thèmes: mélange d'écorces et de branchages colorés, association de fleurs, de baies ou de feuillages. En été les fleurs de nymphéas s'épanouissent sur les étangs qui à l'automne se couvrent de brumes mouvantes. L'arboretum est un lieu d'acclimatation de nouvelles espèces.;;JARD_37266_0001;MHR_24_JR0029;[];[];;2020-06-08 09:25:00;2022-07-22 10:27:51;47.287545, 0.745332
Parc de la Varenne;55000;Grand Est;Meuse;9 Rue Victor Petin, 55000 Haironville, France;9 Rue Victor Petin, 55000 Haironville, France;9 Rue Victor Petin;;Haironville;55224;55;44.0;48.686569;5.083836;"[""http://www.Grand-Estdesjardins.com""]";Parc paysager,Jardin privé;2004;Le parc, daté du XIXe siècle, se compose d'une prairire, ponctuée de bosquets, ceinturée d'une promenade le long de la Saulx, bordée d'arbres remarquables. Des bancs de pierre offrant une vue sur le château, la rivière , le vieux pont d'Haironville. A l'arrière du château, la terrasse à la française surplombe l'ensemble du parc.;;JARD_55224_0001;MHR_44_JR0038;[];[];monument historique;2020-06-08 09:24:00;2022-07-22 10:27:58;48.686569, 5.083836
Jardin des Soussilanges;71110;Bourgogne-Franche-Comté;Saône-et-Loire;5000 Le Bourg, 71110 Céron, France;5000 Le Bourg, 71110 Céron, France;5000 Le Bourg;;Céron;71071;71;27.0;46.282505;3.943743;"[""https://www.lesjardinsdessoussilanges.com/"", ""https://www.facebook.com/lesjardinsdessoussilanges/""]";Jardin contemporain,Jardin de collection,Jardin privé;2020;Lové au cœur d’un vallon de Bourgogne du Sud, ce jardin naturel s’organise en cinq espaces clos gravitant autour d’une demeure bourbonnaise du XVIIIe siècle. Les ambiances s’enchaînent au rythme des clins d’œil, des parterres de vivaces, des massifs de rosiers, de graminées et des bassins de nymphéas ouverts sur la campagne environnante. Crées en 2003 sur un demi hectare, les jardins des Soussilanges se dévoilent au rythme de chacun. Jardins et campagne ne font plus qu’un, le temps s’arrête, l’heure est à une balade intime au sein du bocage de France.;;JARD_71071_0001;MHR_27_JR0031;"[""ouvert""]";"[""de jour""]";;2022-03-09 12:54:47;2022-12-15 17:49:17;46.282505, 3.943743
Parc du château Fléville;54710;Grand Est;Meurthe-et-Moselle;5 Rue du Château, 54710 Fléville-devant-Nancy, France;5 Rue du Château, 54710 Fléville-devant-Nancy, France;5 Rue du Château;;Fléville-devant-Nancy;54197;54;44.0;48.625702;6.202488;"[""http://www.fleville.com""]";Parc paysager,Jardin vivrier,Jardin privé;2004;Le château de Fléville bénéficie d'un environnement exceptionnel, avec son jardin 4 branches, adossé à une Orangerie du XVIIIe siècle, dont la façade arrière est décoré d'un trompe l'oeil. Un grand parc romantique de 20 ha, dessiné par Paul de Choulot et classé parmi les monuments historiques, entoure le château : on peut y admirer les fabriques, les allées sinueuses et quelques animaux.;;JARD_54197_0001;MHR_44_JR0032;[];[];monument historique;2020-06-08 09:24:00;2022-07-22 10:28:12;48.625702, 6.202488
Le jardin de Marguerite;67115;Grand Est;Bas-Rhin;Le Jardin de Marguerite et Gîte La Cour Anglaise, 2 Rue du Verger, 67115 Plobsheim, France;Le Jardin de Marguerite et Gîte La Cour Anglaise, 2 Rue du Verger, 67115 Plobsheim, France;Le Jardin de Marguerite et Gîte La Cour Anglaise;;Plobsheim;67378;67;44.0;48.472904;7.723805;"[""http://www.gitelacouranglaise.fr/""]";Jardin contemporain,Jardin privé;2006;"Ce jardin d’inspiration anglaise, harmonieux et empreint de poésie, semble très ancien avec ses éléments en grès et en bois qui le fondent dans cet environnement de campagne.Différentes ambiances s’y succèdent et constituent un idyllique lieu : le cœur verdoyant, l’allée de roses, le jardin de couleurs, le bassin avec son chemin d’eau, la vallée de brume, le coin d’ombre et de lumière, le potager.";;JARD_67378_0001;MHR_44_JR0006;[];[];;2020-06-08 09:23:00;2022-07-22 10:28:18;48.472904, 7.723805
Villa Arnaga;64250;Nouvelle-Aquitaine;Pyrénées-Atlantiques;9 Av. du Dr Alexandre Camino, 64250 Cambo-les-Bains, France;9 Av. du Dr Alexandre Camino, 64250 Cambo-les-Bains, France;9 Av. du Dr Alexandre Camino;;Cambo-les-Bains;64160;64;75.0;43.366686450127;-1.4207893323874;"[""http://www.arnaga.com"", ""https://www.facebook.com/villaarnaga/"", ""https://twitter.com/VillaArnaga"", ""https://www.instagram.com/villaarnaga/"", ""https://www.youtube.com/watch?v=sFAhjQ2ySA8""]";Jardin régulier,Jardin public;2004;Villa du poète Edmond Rostand réalisée en 1906. Elle est entourée d’un jardin mixte ouvrant sur le panorama des Pyrénées avec parcours d’eau, orangerie, pergola, jardin anglais.;;JARD_64160_0001;MHR_75_JR0032;[];[];monument historique;import;2022-03-09 12:54:43;43.366686450127, -1.4207893323874
Parc du château de Pesselières;18300;Centre-Val de Loire;Cher;1 Rte d'Azy, 18300 Jalognes, France;1 Rte d'Azy, 18300 Jalognes, France;1 Rte d'Azy;;Jalognes;18116;18;24.0;47.215539;2.778523;"[""http://www.chateaudepesselieres.com""]";Parc paysager,Jardin contemporain,Jardin vivrier,Jardin privé;2013;Parc paysager du XVIIIe siècle avec canal naturalisé au XIXe siècle, labyrinthe de charmes, collection d'iris, allée de buis tricentenaires, prairie fleurie et jardin clos contemporain. (23 hectares).;;JARD_18116_0001;MHR_24_JR0005;[];[];monument historique;2020-12-11 13:15:44;2022-07-22 10:28:43;47.215539, 2.778523
Parc du château de Jussy;18130;Centre-Val de Loire;Cher;23 Rte de Raymond, 18130 Jussy-Champagne, France;23 Rte de Raymond, 18130 Jussy-Champagne, France;23 Rte de Raymond;;Jussy-Champagne;18119;18;24.0;46.985016;2.648529;"[""https://www.jardins-de-france.com/parc-du-chateau-de-jussy""]";Jardin régulier,Parc paysager,Jardin privé;2019;"Parc romantique créé par le comte de Choulot, inscrit au titre des monuments historiques, servant d'écrin au château de Jussy, édifice du XVIIe siècle, à plan en H en brique et pierre, serti de douves alimentées par le Craon. L'empreinte du vieux parc du XVIIe siècle est toujours perceptible, avec l'alignement des vieux tilleuls à l'ouest du château, l'allée d'eau à l'est et ses cinq platanes monumentaux, les restes du labyrinthe de buis et, sur la grande pelouse au sud, le pavillon d'angle et les traces du mur de l'antique jardin clos. Les arbres du cru, érables, frênes, tilleuls, merisiers, ifs, se sont multipliés, envahissant l'espace ; les champs autrefois consacrés à la culture sont devenus des pelouses ; des arbustes ornementaux, des alignements d'ifs taillés et de rosiers arbustifs sont venus enrichir les abords du château. Mais le plan conçu et exécuté au XIXe, avec ses bosquets de feuillus, de pins et de cèdres, et ses allées serpentant paresseusement dans les champs, est lui aussi toujours là.";;JARD_18119_0001;MHR_24_JR0031;"[""ouvert""]";"[""de jour""]";monument historique;2020-12-11 13:14:42;2022-12-16 17:01:06;46.985016, 2.648529
Jardins fruitiers de Laquenexy;57530;Grand Est;Moselle;4 Rue Bourger et Perrin, 57530 Laquenexy, France;4 Rue Bourger et Perrin, 57530 Laquenexy, France;4 Rue Bourger et Perrin;;Laquenexy;57385;57;44.0;49.076228;6.310527;"[""http://www.jardinsfruitiersdelaquenexy.com""]";Jardin contemporain,Jardin de collection,Jardin public;2011;Ils se composent d'une vingtaine de jardins différents et mettent tous vos sens en éveil. Du jardin des petits fruits au potager du curieux, découvrez, touchez, humez....Puis partez à l'autre bout du monde, dans les jardins amérindien et maori. Des chaises longues vous invitent à profiter de la quiétude du lieu. Le temps d'une visite, vous vous êtes évadés....Faites voyager vos sens!;;JARD_57385_0001;MHR_44_JR0040;"[""ouvert""]";"[""de jour""]";;2020-09-15 18:18:00;2022-12-19 17:21:30;49.076228, 6.310527
Domaine de Villarceaux;95710;Île-de-France;Val-D'Oise;8 Rue de Magny, 95710 Chaussy, France;8 Rue de Magny, 95710 Chaussy, France;8 Rue de Magny;;Chaussy;95150;95;11.0;49.121879;1.698582;"[""http://www.villarceaux.iledefrance.fr"", ""https://www.instagram.com/domaine_villarceaux/""]";Jardin régulier,Parc paysager,Jardin vivrier,Jardin public;2004;Domaine aristocratique au coeur du PNR du Vexin français. Manoir du XVIe siècle aux plafonds et boiseries peints, château rocaille en haut d'un rare vertugadin du XVIIIe siècle. Belles collections de meubles d'époque. Jardin remarquable, monument historique, espace végétal écologique ECOCERT. Entrée libre. Visites commentées à heures fixes.;;JARD_95150_0001;MHR_11_JR0020;[];[];monument historique;;2022-07-22 10:28:00;49.121879, 1.698582
Jardin du Chaigne;16120;Nouvelle-Aquitaine;Charente;1 Le Chaigne, 16120 Bellevigne, France;1 Le Chaigne, 16120 Bellevigne, France;1 Le Chaigne;;Bellevigne;16204;16;75.0;45.547415;-0.134371;"[""http://www.jardinsduchaigne.com""]";Jardin régulier,Jardin contemporain,Jardin privé;2011;"Les jardins du Chaigne sont situés au cœur de la Grande Champagne, lovés dans les plus beaux coteaux de vignes de Charente (jardin ""à la française"", ""à l’italienne"", théâtre de verdure, chemin d’eau, potager en carrés...). Une heure de visite pour le plaisir des sens, la sérénité et l'âme. Les 400 rosiers embaument, les perspectives enchantent. Les Jardins du Chaigne sont répertoriés par un célèbre guide parmi les 200 plus beaux jardins à visiter en France.";;JARD_16204_0001;MHR_75_JR0038;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:05;45.547415, -0.134371
Parc du château de Bois Cornillé;35450;Bretagne;Ille-et-Vilaine;7 Rue du Bois Cornille, 35450 Val-d'Izé, France;7 Rue du Bois Cornille, 35450 Val-d'Izé, France;7 Rue du Bois Cornille;;Val-d'Izé;35347;35;53.0;48.180471;-1.302214;"[""https://www.boiscornille.fr/"", ""https://www.facebook.com/boiscornille/""]";Parc paysager,Jardin privé;2015;Autour d’un château des 15e et 17e siècles remodelé au 19e dans le style néogothique, Denis Bühler conçoit en 1872 un vaste parc « agricole » en organisant prairies, bosquets et perspectives pour valoriser les vues sur le bourg et ses clochers. En 1902, Edouard André diversifie les ambiances en créant des lieux d’intimité (parterre, rond-point de buis) et divers points de vue (balcon de la cour d’honneur, embarcadère de l’étang muré) (MH – 50 ha).;;JARD_35347_0001;MHR_53_JR0022;[];[];monument historique;;2022-07-22 10:27:52;48.180471, -1.302214
Jardin de la maison d’Édith;97417;La Réunion;La Réunion;59 Chem. Commins, 97417 Saint-Denis, Réunion;59 Chem. Commins, 97417 Saint-Denis, Réunion;59 Chem. Commins;;Saint-Denis;97411;974;4.0;-20.889762;55.407111;"[""https://www.maisondedith.com"", ""https://www.facebook.com/Cote2M/""]";Jardin privé;2017;Nichée dans un écrin de verdure, cette ancienne maison créole de 1867, située à 10 min de Saint Denis, possède un charme digne d'un roman de Vaxelaire. Son jardin à la Créole, ses tonnelles, la maison et ses magnifiques escaliers donnent sur l'océan Indien.;;JARD_97411_0001;MHR_04_JR0001;[];[];;;2022-10-07 18:48:02;-20.889762, 55.407111
Jardin des Plantes;80000;Hauts-de-France;Somme;60 Bd du Jardin des Plantes, 80000 Amiens, France;60 Bd du Jardin des Plantes, 80000 Amiens, France;60 Bd du Jardin des Plantes;;Amiens;80021;80;32.0;49.901461;2.296355;"[""http://www.amiens-tourisme.fr""]";Jardin régulier,Jardin de collection,Jardin public;2015;Ce jardin dont l'origine remonte au XIIIe siècle est l'un des plus anciens de France. Jardin botanique, créé au XVIIIe siècle par Dom Robbe, prieur du couvent des Feuillants. Jardin régulier, où les buis dessinent les plates-bandes, serre Napoléon III, collection de plantes remarquables.;;JARD_80021_0001;MHR_32_JR0022;[];[];;2020-06-08 09:25:00;2022-07-22 10:27:58;49.901461, 2.296355
Jardin de Callunes;88210;Grand Est;Vosges;5 Chem. de la Prelle, 88210 Ban-de-Sapt, France;5 Chem. de la Prelle, 88210 Ban-de-Sapt, France;5 Chem. de la Prelle;;Ban-de-Sapt;88033;88;44.0;48.343258;7.015812;"[""http://www.jardindecallunes.fr/""]";Parc paysager,Jardin contemporain,Jardin de collection,Jardin privé;2004;Créé en 1993 dans le site d'une ancienne carrière dominant un vaste paysage montagneux, ce parc de 3 hectares a été dessiné par le paysagiste Jacques Couturieux qui a mis en scène un riche ensemble de plantes de terres acides comprenant des collections de rhododendrons, azalées, vivaces, pivoines arbustives et plus de 250 variétés de bruyères.;;JARD_88033_0001;MHR_44_JR0045;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:35;48.343258, 7.015812
Parc de Bagatelle;75016;Île-de-France;Paris;Route de Sèvres À Neuilly, 75016 Paris, France;Route de Sèvres À Neuilly, 75016 Paris, France;Route de Sèvres À Neuilly;;Paris;75056;75;11.0;48.8638694;2.2397955;"[""https://www.parisinfo.com/musee-monument-paris/71636/Parc-de-Bagatelle-Jardin-botanique-de-Paris"", ""https://www.instagram.com/parcdebagatelle/""]";Jardin régulier,Parc paysager,Jardin de collection,Jardin public;2018;Le parc de Bagatelle est mondialement connu pour sa roseraie enrichie au fil des ans et, depuis 1907, pour son concours international de nouvelles créations de roses, dites roses nouvelles. Ce site du 18e siècle présente sur 24 hectares des collections horticoles et botaniques emblématiques de l’aménagement paysager des jardins, telles que plantes à bulbes, iris, clématites, rosiers, pélargoniums, asters, chrysanthèmes… Le jardin méditerranéen, le bassin des nymphéas et le jardin du présentateur sont d’autres paysages à découvrir.;;JARD_75112_0005;MHR_11_JR0033;"[""ouvert""]";"[""de jour""]";;2022-03-09 12:54:49;2022-12-19 18:32:38;48.8638694, 2.2397955
Jardin et parc du château de Chantilly;60500;Hauts-de-France;Oise;17 Rue de la Faisanderie, 60500 Chantilly, France;17 Rue de la Faisanderie, 60500 Chantilly, France;17 Rue de la Faisanderie;;Chantilly;60141;60;32.0;49.19566;2.475657;"[""http://www.domainedechantilly.com"", ""https://www.instagram.com/chantillydomain/""]";Jardin régulier,Parc paysager,Jardin public;2004;"Sur 115 hectares, Chantilly offre la possibilité de flâner dans le vaste parc, dessiné par Le Nôtre pour le Grand Condé à la fin du XVIIe siècle. Aux perspectives classiques du Grand Canal, de sa cascade et des parterres à la française, s’ajoutent le jardin anglo-chinois du Hameau, ainsi que les courbes romantiques du ""Jardin anglais"" avec l’île d’Amour et le temple de Vénus.";;JARD_60141_0001;MHR_32_JR0013;[];[];;2018-06-27 18:56:00;2022-07-22 10:27:58;49.19566, 2.475657
Parc de l'Auneau;85110;Pays de la Loire;Vendée;32 L'Auneau, 85110 Chantonnay, France;32 L'Auneau, 85110 Chantonnay, France;32 L'Auneau;;Chantonnay;85051;85;52.0;46.679621;-1.107408;"[""http://www.chateaulauneau.com/""]";Parc paysager,Jardin privé;2011;Parc du XIXe siècle en belvédère sur la vallée du Petit Lay. La promenade ménage des vues panoramiques remarquables qui renvoient à l'identité paysagère de Toscane. Ouverture du 1er au 10 juillet et septembre : 14 h - 18 h. Sur rendez-vous en août.;;JARD_85051_0001;MHR_52_JR0016;"[""ouvert""]";"[""saisonnière""]";;;2022-12-21 12:21:11;46.679621, -1.107408
Jardin antique méditerranéen;34540;Occitanie;Hérault;8 Rue du Pioch, 34540 Balaruc-les-Bains, France;8 Rue du Pioch, 34540 Balaruc-les-Bains, France;8 Rue du Pioch;;Balaruc-les-Bains;34023;34;76.0;43.441469;3.681629;"[""https://patrimoine.agglopole.fr/jardin-antique-mediterraneen""]";Jardin contemporain,Jardin public;2012;"A la fois vitrine des essences méditerranéennes et musée des techniques de plantation antiques, ce jardin, situé sur 1,7 hectares face à l’étang de Thau, constitue un lieu unique sur le bassin méditerranéen.Le jardin invite petits et grands à découvrir, à travers 7 créations originales (jardins et bois thématiques), la flore méditerranéenne et ses subtils usages que nos ancêtres nous ont transmis en héritage (agriculture et horticulture, sacré et mythologie, médecine, cuisine, cosmétique…).";;JARD_34023_0001;MHR_76_JR0014;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:07;43.441469, 3.681629
Village-jardin de Yèvre-le-Châtel;45300;Centre-Val de Loire;Loiret;;Place du Bourg, 45300 Yèvre-le-Châtel, France;Place du Bourg;;Yèvre-le-Châtel;;45;24.0;48.160069339199;2.3351311865083;"[""https://www.jardins-de-france.com/village-jardin-de-yevre-le-chatel""]";Jardin de collection,Jardin contemporain,Jardin d'inspiration médiévale;2022;Yèvre-le-Châtel est l'un des deux seuls villages de France à être labellisés « Jardin remarquable ». Ce village-jardin est aussi classé parmi « Les plus beaux villages de France » et figure dans « La route de la rose du Loiret ». Ces labels sont venus consacrer une politique de restauration et de mise en valeur de son important patrimoine architectural et botanique conduite dans le respect de l'authenticité du site. Dans un cadre historique qui requiert de la sobriété, le fleurissement de Yèvre-le-Châtel se doit d'être respectueux de l'environnement. Le décor floral y est partout présent. Il repose largement sur une association locale de mise en valeur du village et sur des habitants qui fleurissent les rues le long de leur maison.;;;;;;;;;48.160069339199, 2.3351311865083
Domaine national du Château de Versailles;78000;Île-de-France;Yvelines;5 Rue du Vieux Versailles, 78000 Versailles, France;5 Rue du Vieux Versailles, 78000 Versailles, France;5 Rue du Vieux Versailles;;Versailles;78646;78;11.0;48.800878;2.12262;"[""http://www.chateauversailles.fr""]";Jardin régulier,Parc paysager,Jardin public;2004;"Le Château de Versailles recèle autant de merveilles dans ses jardins que dans ses salles. Modèle du jardin régulier ""à la française"", il est orné de plus de 400 statues de marbre, de bronze ou de plomb, de bosquets et de bassins animés par des jeux d'eau.";;JARD_78646_0002;MHR_11_JR0029;[];[];monument historique;2020-09-15 18:16:00;2022-07-22 10:28:00;48.800878, 2.12262
Jardin Botanique;10400;Grand Est;Aube;54 Chemin des Gougins, 10400 Marnay-sur-Seine, France;54 Chemin des Gougins, 10400 Marnay-sur-Seine, France;54 Chemin des Gougins;;Marnay-sur-Seine;10020;10;44.0;48.5134822;3.5555921;"[""http://www.jardin-botanique.org""]";Jardin contemporain,Jardin de collection;2008;Différentes parties du jardin: le chemin de l'évolution, la roseraie, les plantes médicinales, les plantes condimentaires, le potager, le jardin des ombres, le jardin conservatoire, le jardin ornemental, le mur végétal.;;JARD_10225_0001;MHR_44_JR0017;[];[];;2020-06-08 09:24:00;2022-10-07 22:41:56;48.5134822, 3.5555921
Jardin de la Chaux;58230;Bourgogne-Franche-Comté;Nièvre;2 Rte du Château, 58230 Alligny-en-Morvan, France;2 Rte du Château, 58230 Alligny-en-Morvan, France;2 Rte du Château;;Alligny-en-Morvan;58003;58;27.0;47.224246;4.138703;"[""http://www.gites-lachaux.fr"", ""https://www.facebook.com/DomLaChaux/""]";Parc paysager,Jardin contemporain,Jardin privé;2006;Château du XIXe siècle entouré d'un parc de séquoia, d'hêtres et d'allées de buis. Le parc est composé de plusieurs jardins : jardins de rhododendrons, de roses, jardin de senteurs avec de nombreuses variétés de fleurs : glycines, iris, pivoines.;;JARD_58003_0001;MHR_27_JR0001;[];[];;2020-09-21 14:01:00;2022-07-22 10:27:52;47.224246, 4.138703
Le jardin des Lianes;62140;Hauts-de-France;Pas-de-Calais;Lianes Garden, 8 Rue des Capucins, 62140 Chériennes, France;Lianes Garden, 8 Rue des Capucins, 62140 Chériennes, France;Lianes Garden;;Chériennes;62222;62;32.0;50.312114;2.037485;"[""http://jardindeslianes.fr""]";Parc paysager,Jardin contemporain,Jardin de collection,Jardin privé;2006;Ce jardin de 5400 m2 se veut libre, romantique, parfumé, coloré et facile d'entretien. Il est structuré à partir d'arbres et d’arbustes de collection, qui offrent une grande diversité de feuillages, assurant de la couleur du printemps jusqu'à l’automne. Aux parfums des viburnums et autres arbustes à fleurs succèdent ceux de 400 variétés de roses anciennes ou anglaises que l'on peut apprécier au détour de nombreuses petites allées. Une très belle collection d'hydrangéa (environ 180 variétés dont de nombreux cultivars japonais) vient aussi varier les plaisirs, offrant avec les vivaces des fleurs à admirer jusqu'aux gelées. Un pigeonnier, un petit puits, quelques cabanes, de nombreuses gloriettes et bancs participent à son décor.;;JARD_62222_0001;MHR_32_JR0005;[];[];;2020-12-11 13:16:36;2022-07-22 10:27:58;50.312114, 2.037485
Jardin d'Ode;88140;Grand Est;Vosges;1 Rue de Aingeville, 88140 Saint-Ouen-lès-Parey, France;1 Rue de Aingeville, 88140 Saint-Ouen-lès-Parey, France;1 Rue de Aingeville;;Saint-Ouen-lès-Parey;88430;88;44.0;48.185879;5.765436;"[""http://www.lejardindode.org""]";Jardin contemporain,Jardin privé;2011;Mise en scène depuis plus de 20 ans par ses concepteurs, ce jardin est le reflet artistique d'une passion dévorante. Niché en pleine nature, il renferme une collection de plantes d'une rareté insoupçonnée, provenant des quatre coins du monde et mises en scène dans diverses chambres de verdures (Sous-bois, Jardin d'eau, jardin de cactus, potager...);;JARD_88430_0001;MHR_44_JR0046;[];[];;2020-06-08 09:24:00;2022-07-22 10:28:36;48.185879, 5.765436
